Accuracy : 0.9492, Precision : 0.0426, Recall : 1.0000, F-score : 0.0817 
Accuracy : 0.9481, Precision : 0.0213, Recall : 1.0000, F-score : 0.0418 
Accuracy : 0.9510, Precision : 0.0181, Recall : 1.0000, F-score : 0.0357 
Accuracy : 0.9491, Precision : 0.0132, Recall : 1.0000, F-score : 0.0260 
Accuracy : 0.9505, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9488, Precision : 0.0109, Recall : 1.0000, F-score : 0.0216 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9487, Precision : 0.0100, Recall : 1.0000, F-score : 0.0199 
Accuracy : 0.9535, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9487, Precision : 0.0100, Recall : 1.0000, F-score : 0.0199 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9511, Precision : 0.0110, Recall : 1.0000, F-score : 0.0217 
Accuracy : 0.9505, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9505, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9504, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9518, Precision : 0.0070, Recall : 1.0000, F-score : 0.0139 
Accuracy : 0.9518, Precision : 0.0070, Recall : 1.0000, F-score : 0.0139 
Accuracy : 0.9518, Precision : 0.0070, Recall : 1.0000, F-score : 0.0139 
Accuracy : 0.8556, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.8556, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9969, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9876, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.7828, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9949, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9913, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9449, Precision : 0.1369, Recall : 1.0000, F-score : 0.2409 
Accuracy : 0.9529, Precision : 0.1818, Recall : 1.0000, F-score : 0.3077 
Accuracy : 0.9419, Precision : 0.1308, Recall : 1.0000, F-score : 0.2314 
Accuracy : 0.9514, Precision : 0.1526, Recall : 1.0000, F-score : 0.2648 
Accuracy : 0.9367, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9449, Precision : 0.1369, Recall : 1.0000, F-score : 0.2409 
Accuracy : 0.9529, Precision : 0.1818, Recall : 1.0000, F-score : 0.3077 
Accuracy : 0.9419, Precision : 0.1308, Recall : 1.0000, F-score : 0.2314 
Accuracy : 0.9514, Precision : 0.1526, Recall : 1.0000, F-score : 0.2648 
Accuracy : 0.9367, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9473, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9446, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9507, Precision : 0.1447, Recall : 1.0000, F-score : 0.2528 
Accuracy : 0.9585, Precision : 0.2014, Recall : 1.0000, F-score : 0.3353 
Accuracy : 0.9554, Precision : 0.1514, Recall : 1.0000, F-score : 0.2629 
Accuracy : 0.9492, Precision : 0.1390, Recall : 1.0000, F-score : 0.2440 
Accuracy : 0.9427, Precision : 0.1253, Recall : 1.0000, F-score : 0.2227 
Accuracy : 0.9507, Precision : 0.1505, Recall : 1.0000, F-score : 0.2617 
Accuracy : 0.9540, Precision : 0.1534, Recall : 1.0000, F-score : 0.2660 
Accuracy : 0.9950, Precision : 0.2667, Recall : 1.0000, F-score : 0.4211 
Accuracy : 0.9952, Precision : 0.3185, Recall : 1.0000, F-score : 0.4831 
Accuracy : 0.9947, Precision : 0.3399, Recall : 1.0000, F-score : 0.5074 
Accuracy : 0.9948, Precision : 0.3958, Recall : 1.0000, F-score : 0.5671 
Accuracy : 0.9948, Precision : 0.4630, Recall : 1.0000, F-score : 0.6329 
