Accuracy : 0.9997, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9861, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9861, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9846, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9742, Precision : 0.0419, Recall : 1.0000, F-score : 0.0805 
Accuracy : 0.9519, Precision : 0.0230, Recall : 1.0000, F-score : 0.0449 
Accuracy : 0.9497, Precision : 0.0220, Recall : 1.0000, F-score : 0.0431 
Accuracy : 0.9525, Precision : 0.0233, Recall : 1.0000, F-score : 0.0455 
Accuracy : 0.9515, Precision : 0.0228, Recall : 1.0000, F-score : 0.0446 
Accuracy : 0.9989, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9977, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9902, Precision : 0.1883, Recall : 1.0000, F-score : 0.3170 
Accuracy : 0.9888, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9989, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9522, Precision : 0.0231, Recall : 1.0000, F-score : 0.0452 
Accuracy : 0.9671, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9674, Precision : 0.0309, Recall : 1.0000, F-score : 0.0600 
Accuracy : 0.9651, Precision : 0.0290, Recall : 1.0000, F-score : 0.0563 
Accuracy : 0.9663, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9646, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9748, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9763, Precision : 0.0420, Recall : 1.0000, F-score : 0.0806 
Accuracy : 0.9468, Precision : 0.0167, Recall : 1.0000, F-score : 0.0329 
Accuracy : 0.9420, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9511, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9448, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9477, Precision : 0.0162, Recall : 1.0000, F-score : 0.0318 
Accuracy : 0.9451, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9535, Precision : 0.0214, Recall : 1.0000, F-score : 0.0420 
Accuracy : 0.9532, Precision : 0.0190, Recall : 1.0000, F-score : 0.0373 
Accuracy : 0.9540, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9561, Precision : 0.0207, Recall : 1.0000, F-score : 0.0406 
