Accuracy : 0.9492, Precision : 0.0426, Recall : 1.0000, F-score : 0.0817 
Accuracy : 0.9481, Precision : 0.0213, Recall : 1.0000, F-score : 0.0418 
Accuracy : 0.9510, Precision : 0.0181, Recall : 1.0000, F-score : 0.0357 
Accuracy : 0.9491, Precision : 0.0132, Recall : 1.0000, F-score : 0.0260 
Accuracy : 0.9505, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9488, Precision : 0.0109, Recall : 1.0000, F-score : 0.0216 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9487, Precision : 0.0100, Recall : 1.0000, F-score : 0.0199 
Accuracy : 0.9535, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9487, Precision : 0.0100, Recall : 1.0000, F-score : 0.0199 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9509, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9499, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9505, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9488, Precision : 0.0109, Recall : 1.0000, F-score : 0.0216 
Accuracy : 0.9947, Precision : 0.2548, Recall : 1.0000, F-score : 0.4061 
Accuracy : 0.9929, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9927, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9950, Precision : 0.3509, Recall : 1.0000, F-score : 0.5195 
Accuracy : 0.9912, Precision : 0.0000, Recall : 0.0000, F-score : 0.0000 
Accuracy : 0.9949, Precision : 0.4695, Recall : 1.0000, F-score : 0.6390 
